epoch	lr	acc	loss	val_acc	val_loss	delta_ema
1	1.0e-03	0.0921	5.2893	0.1250	4.2274	0.06751
2	1.0e-03	0.1819	3.7274	0.2298	3.3773	0.12480
3	1.0e-03	0.2435	3.2344	0.2543	3.1379	0.16567
4	1.0e-03	0.2961	2.9459	0.2902	2.9473	0.19243
5	1.0e-03	0.3369	2.7413	0.3828	2.5398	0.20863
6	1.0e-03	0.3717	2.5786	0.3941	2.4570	0.21682
7	1.0e-03	0.3994	2.4550	0.4377	2.2599	0.21766
8	1.0e-03	0.4236	2.3418	0.4191	2.3353	0.21582
9	1.0e-03	0.4414	2.2596	0.4586	2.1741	0.20817
10	1.0e-03	0.4591	2.1760	0.4307	2.3470	0.19931
11	1.0e-03	0.4770	2.1079	0.5136	1.9574	0.18854
12	1.0e-03	0.4891	2.0416	0.5004	1.9860	0.17774
13	1.0e-03	0.4985	1.9949	0.4720	2.1520	0.16422
14	1.0e-03	0.5134	1.9401	0.5169	1.9249	0.15275
15	1.0e-03	0.5228	1.8950	0.5408	1.8387	0.14153
16	1.0e-03	0.5341	1.8549	0.5232	1.9113	0.13055
17	1.0e-03	0.5460	1.8101	0.5192	1.9471	0.12113
18	1.0e-03	0.5500	1.7870	0.5280	1.8861	0.11014
19	1.0e-03	0.5600	1.7505	0.5457	1.8284	0.10122
20	1.0e-03	0.5694	1.7123	0.5409	1.8579	0.09535
21	1.0e-03	0.5733	1.6862	0.5596	1.7864	0.08849
22	1.0e-03	0.5789	1.6569	0.5400	1.8897	0.08250
23	1.0e-03	0.5897	1.6247	0.5349	1.8719	0.07729
24	1.0e-03	0.5925	1.6003	0.5756	1.6948	0.07233
25	1.0e-03	0.5970	1.5859	0.5677	1.7631	0.06664
26	1.0e-03	0.6036	1.5664	0.5596	1.7848	0.06136
27	1.0e-03	0.6106	1.5312	0.5734	1.7075	0.05875
28	1.0e-03	0.6129	1.5230	0.5756	1.6798	0.05396
29	1.0e-03	0.6196	1.4958	0.5835	1.6660	0.05163
30	1.0e-03	0.6264	1.4710	0.5887	1.6379	0.04987
31	1.0e-03	0.6282	1.4601	0.5796	1.7168	0.04615
32	1.0e-03	0.6321	1.4414	0.5880	1.6531	0.04406
33	1.0e-03	0.6370	1.4208	0.5926	1.6548	0.04277
34	1.0e-03	0.6416	1.4019	0.6071	1.5942	0.04151
35	1.0e-03	0.6465	1.3846	0.6006	1.6290	0.03996
36	1.0e-03	0.6498	1.3723	0.5925	1.6543	0.03762
37	1.0e-03	0.6554	1.3582	0.5987	1.6494	0.03600
38	1.0e-03	0.6595	1.3465	0.5950	1.6613	0.03371
39	1.0e-03	0.6602	1.3363	0.5936	1.6555	0.03166
40	1.0e-03	0.6667	1.3049	0.5889	1.6704	0.03283
